HGNC.symbol	PROBEID
MORN2	226790_at
MORN2	226790_at
MORN2	226790_at
MORN2	226790_at
MORN2	226790_at
MORN2	226790_at
NACA2	222224_at
LINC00208	1552955_at
UGT1A9	206094_x_at
UGT1A9	208596_s_at
UGT1A9	221305_s_at
UGT1A9	215125_s_at
UGT1A9	204532_x_at
UGT1A9	207126_x_at
CTNNA1	210844_x_at
CTNNA1	1558214_s_at
CTNNA1	200764_s_at
CTNNA1	215883_at
CTNNA1	200765_x_at
CTNNA1	210844_x_at
CTNNA1	1558214_s_at
CTNNA1	200764_s_at
CTNNA1	200765_x_at
CTNNA1	1558214_s_at
CTNNA1	1558214_s_at
CTNNA1	1558214_s_at
CTNNA1	210844_x_at
CTNNA1	1558214_s_at
CTNNA1	200764_s_at
CTNNA1	200765_x_at
CTNNA1	1558214_s_at
CTNNA1	1558214_s_at
CTNNA1	1558214_s_at
CTNNA1	1558214_s_at
CTNNA1	200764_s_at
CTNNA1	210844_x_at
CTNNA1	200764_s_at
CTNNA1	200765_x_at
CTNNA1	210844_x_at
CTNNA1	1558214_s_at
CTNNA1	200764_s_at
CTNNA1	200765_x_at
CTNNA1	210844_x_at
CTNNA1	200764_s_at
CTNNA1	200765_x_at
ABI3	223615_at
ABI3	223615_at
ABI3	223615_at
ABI3	223615_at
PARM1	204687_at
PARM1	225809_at
PARM1	204687_at
PARM1	225809_at
TNFRSF18	223851_s_at
TNFRSF18	223851_s_at
TNFRSF18	224553_s_at
TNFRSF18	223851_s_at
TNFRSF18	224553_s_at
TNFRSF18	223851_s_at
TNFRSF18	224553_s_at
SH3BGRL3	227818_at
SH3BGRL3	221269_s_at
SH3BGRL3	221269_s_at
TENM4	213273_at
ADRA2C	206128_at
ADRA2C	206128_at
RDH5	236291_at
RDH5	210106_at
RDH5	210106_at
RDH5	210106_at
RDH5	210106_at
RDH5	210106_at
SDAD1	218607_s_at
SDAD1	228408_s_at
SDAD1	218607_s_at
SDAD1	228408_s_at
SDAD1	218607_s_at
SDAD1	228408_s_at
SDAD1	228408_s_at
SDAD1	228408_s_at
SDAD1	242190_at
ADD3-AS1	222072_at
ADD3-AS1	217380_s_at
ADD3-AS1	222072_at
ADD3-AS1	217380_s_at
ADD3-AS1	222072_at
